Target Acquired,Target Acquired,Target Acquired
Vorac Shockwave Moa,3.00%,Uncommon (25.29%)
Vorac Tech,3.00%,Uncommon (25.29%)
Vorac Engineer,3.00%,Uncommon (25.29%)
Leaping Thrasher,4.50%,Uncommon (25.29%)
Machinist,3.00%,Very Common (75.88%)
Carrion Charger,3.00%,Uncommon (18.97%)
Arbitration Shield Drone,3.00%,Very Common (75.88%)
Corrupted Power Carrier,3.00%,Uncommon (25.29%)
Tusk Heavy Gunner,10.00%,Uncommon (25.29%)
Tusk Bombard,3.00%,Uncommon (25.29%)
Tusk Shield Lancer,3.00%,Uncommon (25.29%)
Tusk Roller,3.00%,Uncommon (18.97%)
Tusk Flameblade,3.00%,Uncommon (25.29%)
Tusk Butcher,3.00%,Uncommon (18.97%)
Tusk Shield Dargyn,12.50%,Uncommon (25.29%)
Tusk Shield Dargyn,3.00%,Uncommon (25.29%)
Tusk Dargyn,12.50%,Uncommon (25.29%)
Tusk Dargyn,3.00%,Uncommon (25.29%)
Tusk Ballista,3.00%,Common (37.94%)
Tusk Mortar Bombard,3.00%,Uncommon (25.29%)
Tusk Predator,3.00%,Uncommon (25.29%)
Tusk Command Dargyn,12.50%,Uncommon (25.29%)
Orphid Husks,3.00%,Uncommon (25.29%)
Undying Flyer,4.50%,Uncommon (25.29%)
Ratel,3.00%,Uncommon (25.29%)
Minima Moa,3.00%,Uncommon (25.29%)
Nightwatch Carrier,3.00%,Uncommon (25.29%)
Juno Elite Crewman,3.00%,Uncommon (25.29%)
Juno Crewman,3.00%,Uncommon (25.29%)
Juno Tech,3.00%,Uncommon (25.29%)
Juno Dera Moa,3.00%,Uncommon (25.29%)
Juno Disc Moa,3.00%,Uncommon (25.29%)
Juno Geminex Moa,3.00%,Uncommon (25.29%)
Juno Glaxion Moa,3.00%,Uncommon (25.29%)
Juno Jactus Osprey,3.00%,Common (37.94%)
Juno Oxium Osprey,3.00%,Uncommon (25.29%)
Juno Shield Osprey,3.00%,Very Common (75.88%)
Test Moa,3.00%,Uncommon (25.29%)
Eidolon Vomvalyst,5.00%,Uncommon (25.29%)
Netracell Arcocanid,3.00%,Very Common (95.79%)
Netracell Culverin,3.00%,Very Common (95.79%)
Shuffling Fragment,2.00%,Very Common (100.00%)
Lumbering Fragment,1.50%,Common (41.67%)
Rupturing Fragment,2.00%,Very Common (100.00%)
The Anatomizer,3.00%,Common (59.18%)
Rogue Arcocanid,3.00%,Very Common (95.79%)
Rogue Culverin,3.00%,Very Common (95.79%)
The Fragmented Suzerain,3.00%,Rare (9.09%)
The Hollow Vein,3.00%,Common (49.55%)
The Severed Warden,3.00%,Common (59.18%)
Hurling Fragment,2.00%,Very Common (100.00%)
Arcane Boiler,3.00%,Uncommon (15.18%)
Nauseous Void Shade,3.00%,Common (37.94%)
Void Shade,3.00%,Common (37.94%)
Attack Drone,3.00%,Uncommon (25.29%)
Attack Drone,3.00%,Uncommon (25.29%)
Remech Osprey,3.00%,Uncommon (25.29%)
Mutalist Osprey Carrier,3.00%,Uncommon (25.29%)
Drover Bursa,3.00%,Uncommon (25.29%)
Nemes,3.00%,Uncommon (25.29%)
Corvette,3.00%,Very Common (77.44%)
Ranger,3.00%,Uncommon (25.29%)
Quanta Ranger,3.00%,Uncommon (25.29%)
Penta Ranger,3.00%,Uncommon (25.29%)
Frigate,3.00%,Uncommon (25.29%)
Lynx,3.00%,Common (37.94%)
Gox,3.00%,Very Common (77.44%)
Cannon Battery,3.00%,Uncommon (25.81%)
Locust Drone,20.00%,Common (37.94%)
Carrier,5.00%,Common (37.94%)
Corrupted Ancient,3.00%,Very Common (75.88%)
Corrupted Crewman,3.00%,Uncommon (32.47%)
Corrupted Moa,3.00%,Uncommon (25.29%)
Councilor Vay Hek,100.00%,Very Common (75.88%)
Corpus Power Carrier,3.00%,Uncommon (25.29%)
Corpus Tech,3.00%,Common (37.94%)
Sapping Osprey,3.00%,Uncommon (25.29%)
Isolator Bursa,3.00%,Uncommon (25.29%)
Nervo,3.00%,Uncommon (18.97%)
Elite Lancer,20.00%,Very Common (75.88%)
Elite Crewman,3.00%,Very Common (75.88%)
Kuva Drahk Master,3.00%,Uncommon (18.97%)
Kuva Heavy Gunner,10.00%,Uncommon (25.29%)
Kuva Bombard,3.00%,Uncommon (25.29%)
Kuva Hyekka Master,3.00%,Uncommon (25.29%)
Kuva Scorch,3.00%,Common (38.72%)
Kuva Hellion Carrier,3.00%,Uncommon (25.29%)
Kuva Shield Lancer,3.00%,Uncommon (25.29%)
Kuva Roller,3.00%,Uncommon (18.97%)
Kuva Flameblade,3.00%,Uncommon (25.29%)
Kuva Butcher,3.00%,Uncommon (18.97%)
Kuva Ballista,3.00%,Common (37.94%)
Kuva Power Carrier,3.00%,Uncommon (25.29%)
Kuva Scorpion,3.00%,Common (37.94%)
Fusion Moa,3.00%,Uncommon (18.97%)
Ghoul Auger,10.00%,Common (37.94%)
Ghoul Expired,20.00%,Common (37.94%)
Artificer,100.00%,Very Common (75.88%)
Carabus,3.00%,Uncommon (25.29%)
Drahk Master,3.00%,Uncommon (18.97%)
Heavy Gunner,3.00%,Uncommon (18.97%)
Arid Heavy Gunner,3.00%,Uncommon (18.97%)
Bombard,3.00%,Uncommon (25.29%)
Hyekka Master,3.00%,Uncommon (25.29%)
Frontier Bailiff,3.00%,Uncommon (18.97%)
Bailiff,3.00%,Uncommon (18.97%)
Ogma,25.00%,Very Common (75.88%)
Scorch,3.00%,Common (38.72%)
Kuva Dargyn,12.50%,Uncommon (25.29%)
Frontier Heavy Gunner,3.00%,Uncommon (18.97%)
Hellion Power Carrier,3.00%,Uncommon (25.29%)
Hellion Power Carrier,25.00%,Uncommon (25.29%)
Sprag,3.00%,Uncommon (25.29%)
Ven'Kra Tel,3.00%,Uncommon (25.29%)
Shield Lancer,3.00%,Uncommon (25.29%)
Lancer Dreg,3.00%,Common (37.94%)
Manic Bombard,40.00%,Uncommon (25.29%)
Zeplen,3.00%,Uncommon (25.81%)
Shield-Hellion Dargyn,20.00%,Common (37.94%)
Hellion Dargyn,12.50%,Uncommon (25.29%)
Frontier Regulator,3.00%,Uncommon (25.29%)
Regulator,3.00%,Uncommon (25.29%)
Roller,3.00%,Uncommon (18.97%)
Roller Sentry,3.00%,Uncommon (18.97%)
Kuva Guardian,40.00%,Very Common (75.88%)
Flameblade,3.00%,Uncommon (25.29%)
Butcher,3.00%,Uncommon (18.97%)
Shield Dargyn,3.00%,Common (38.72%)
Dargyn,3.00%,Uncommon (25.29%)
Ballista,3.00%,Common (37.94%)
Dreg,3.00%,Uncommon (25.29%)
Temporal Dreg,10.00%,Uncommon (25.29%)
Grineer Power Carrier,3.00%,Uncommon (25.29%)
Ancient Healer,3.00%,Uncommon (25.29%)
Boiler,3.00%,Uncommon (15.18%)
Venin Mutalist,3.00%,Common (37.94%)
Nauseous Crawler,3.00%,Common (37.94%)
Lobber Crawler,3.00%,Uncommon (18.97%)
Leaper,3.00%,Common (37.94%)
Charger,3.00%,Uncommon (18.97%)
Swarm Mutalist Moa,3.00%,Uncommon (25.29%)
Toxic Crawler,3.00%,Uncommon (18.97%)
Attack Mutalist,3.00%,Uncommon (25.29%)
Mutalist Lightning Carrier,3.00%,Uncommon (25.29%)
Mutalist Toxic Carrier,3.00%,Uncommon (25.29%)
Volatile Runner,3.00%,Uncommon (25.29%)
Toxic Ancient,3.00%,Uncommon (15.18%)
Juggernaut Behemoth,3.00%,Uncommon (18.97%)
Juggernaut,3.00%,Uncommon (18.97%)
Jack O'Naut,3.00%,Uncommon (18.97%)
Moa,3.00%,Uncommon (25.29%)
Leech Osprey,3.00%,Uncommon (25.29%)
Scorpion,3.00%,Common (37.94%)
Grineer Manic,50.00%,Uncommon (18.97%)
Mine Osprey,3.00%,Common (37.94%)
Orokin Drone,3.00%,Uncommon (25.29%)
Denial Bursa,3.00%,Uncommon (25.29%)
Courier,30.00%,Common (37.94%)
Turret,3.00%,Uncommon (25.81%)
Railgun Moa,3.00%,Common (38.72%)
Crewman,3.00%,Uncommon (25.29%)
Drekar Ballista,20.00%,Common (37.94%)
Drekar Hellion,30.00%,Uncommon (25.29%)
Drekar Manic,3.00%,Uncommon (18.97%)
Drekar Manic Bombard,40.00%,Uncommon (25.29%)
Sensor Regulator,3.00%,Uncommon (25.29%)
Orokin Spectator,3.00%,Uncommon (25.29%)
Shield Osprey,3.00%,Very Common (75.88%)
Shockwave Moa,3.00%,Uncommon (25.29%)
Detron Crewman,3.00%,Uncommon (25.81%)
Latcher,3.00%,Uncommon (18.97%)
Oxium Osprey,3.00%,Uncommon (25.29%)
Mutalist Osprey,3.00%,Common (37.94%)
Councilor Vay Hek,100.00%,Common (37.94%)
Vay Hek Terra Frame,100.00%,Common (37.94%)
Rathuum Broadcaster,3.00%,Uncommon (25.29%)
Corpus Warden,3.00%,Common (37.94%)
Corrupted Warden,3.00%,Uncommon (18.97%)
Grineer Warden,3.00%,Uncommon (18.97%)
Sikula,3.00%,Common (37.94%)
Deimos Leaping Thrasher,4.50%,Uncommon (25.29%)
Deimos Carnis,4.50%,Uncommon (25.29%)
Deimos Jugulus,4.50%,Uncommon (25.29%)
Deimos Jugulus Rex,100.00%,Uncommon (18.97%)
Deimos Mutalist Osprey Carrier,3.00%,Uncommon (25.29%)
Latrox Une,3.00%,Common (37.94%)
Polyp-Hog Juggernaut,3.00%,Uncommon (18.97%)
Deimos Ancient Healer,3.00%,Uncommon (25.29%)
Deimos Venin Mutalist,3.00%,Common (37.94%)
Deimos Saxum,4.50%,Uncommon (25.29%)
Deimos Tendril Drone,3.00%,Uncommon (25.29%)
Deimos Juggernaut,3.00%,Uncommon (18.97%)
Deimos Juggernaut,3.00%,Uncommon (18.97%)
Deimos Leaper,3.00%,Common (37.94%)
Deimos Runner,3.00%,Uncommon (25.29%)
Garv,3.00%,Uncommon (18.97%)
Deimos Swarm Mutalist Moa,3.00%,Uncommon (25.29%)
Deimos Charger,3.00%,Uncommon (18.97%)
Basal Diploid,3.50%,Very Common (75.88%)
Basal Diploid Rex,3.50%,Very Common (75.88%)
Feral Diploid,3.50%,Very Common (75.88%)
Feral Diploid Rex,3.50%,Very Common (75.88%)
Narmer Flameblade,3.00%,Uncommon (25.29%)
Narmer Bombard,3.00%,Uncommon (25.29%)
Narmer Observation Drone,3.00%,Uncommon (25.29%)
Narmer Power Carrier,3.00%,Uncommon (25.29%)
Narmer Detron Crewman,3.00%,Uncommon (25.81%)
Narmer Dera Moa,3.00%,Uncommon (25.29%)
Narmer Disc Moa,3.00%,Uncommon (25.29%)
Narmer Geminex Moa,3.00%,Uncommon (25.29%)
Narmer Glaxion Moa,3.00%,Uncommon (25.29%)
Narmer Leech Osprey,3.00%,Uncommon (25.29%)
Narmer Mine Osprey,3.00%,Uncommon (25.29%)
Narmer Mine Osprey,3.00%,Common (37.94%)
Narmer Sapping Osprey,3.00%,Uncommon (25.29%)
Narmer Shield Osprey,3.00%,Very Common (75.88%)
Narmer Shield Osprey,3.00%,Very Common (75.88%)
Narmer Shockwave Moa,3.00%,Uncommon (25.29%)
Narmer Oxium Osprey,3.00%,Uncommon (25.29%)
Narmer Corpus Tech,3.00%,Common (37.94%)
Narmer Crewman Warden,3.00%,Common (37.94%)
Narmer Crewman,3.00%,Uncommon (25.29%)
Narmer Crewman,3.00%,Uncommon (25.81%)
Narmer Sensolyst Drone,3.00%,Very Common (75.88%)
Narmer Elite Crewman,3.00%,Very Common (75.88%)
Narmer Ballista,3.00%,Common (37.94%)
Narmer Scorch,3.00%,Common (38.72%)
Narmer Gunner Warden,3.00%,Uncommon (18.97%)
Narmer Heavy Gunner,3.00%,Uncommon (18.97%)
Narmer Scorpion,3.00%,Common (37.94%)
Narmer Machinist,3.00%,Very Common (75.88%)
Narmer Regulator,3.00%,Uncommon (25.29%)
Narmer Shield Lancer,3.00%,Uncommon (25.29%)
Narmer Tech,3.00%,Uncommon (25.29%)
Narmer Osprey,3.00%,Very Common (75.88%)
Breacher Moa,3.00%,Uncommon (25.29%)
Striker Moa,3.00%,Uncommon (25.29%)
Shield Drone,3.00%,Very Common (75.88%)
Taro Crewship,15.00%,Very Common (77.44%)
Comet Shard,20.00%,Common (37.94%)
Observation Drone,3.00%,Uncommon (25.29%)
Vallis Surveillance Drone,3.00%,Very Common (75.88%)
Terra Shield Osprey,3.00%,Very Common (75.88%)
Terra Turret Osprey,3.00%,Uncommon (25.29%)
Orb Vallis - Temple of Profit Enemies,5.00%,Uncommon (25.29%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Uncommon (11.67%)
Orb Vallis - Spaceport Enemies,5.00%,Uncommon (11.94%)
,,
Argon Plating,Argon Plating,Argon Plating
Source,Mod Drop Chance,Chance
Uncommon Corpus Storage Container,5.00%,Common (37.94%)
Carrier,5.00%,Common (37.94%)
Common Grineer Storage Container,5.00%,Common (37.94%)
Common Grineer Storage Container,5.00%,Common (37.94%)
Uncommon Grineer Storage Container,5.00%,Common (37.94%)
Dreg,3.00%,Uncommon (25.29%)
Attack Mutalist,3.00%,Uncommon (25.29%)
Mutalist Lightning Carrier,3.00%,Uncommon (25.29%)
Mutalist Toxic Carrier,3.00%,Uncommon (25.29%)
Orokin Storage Container,5.00%,Common (37.94%)
Orokin Storage Container,5.00%,Common (37.94%)
Courier,30.00%,Common (37.94%)
Rare Corpus Storage Container,7.50%,Common (37.94%)
Rare Grineer Storage Container,7.50%,Common (37.94%)
Rare Orokin Storage Container,5.00%,Common (37.94%)
Reinforced Grineer Storage Container,10.00%,Common (37.94%)
Reinforced Grineer Storage Container,10.00%,Common (37.94%)
Reinforced Orokin Storage Container,5.00%,Common (37.94%)
Deimos Tendril Drone,3.00%,Uncommon (25.29%)
Exo Eviscerator,5.00%,Common (37.94%)
Exo Supressor,5.00%,Common (37.94%)
Kosma Eviscerator,5.00%,Common (37.94%)
Gyre Eviscerator,5.00%,Uncommon (25.29%)
Gyre Supressor,5.00%,Uncommon (25.29%)
Kosma Supressor,5.00%,Common (37.94%)
Nascent Membroid,5.00%,Common (37.94%)
Mature Membroid,5.00%,Common (37.94%)
Apex Membroid,5.00%,Common (37.94%)
Juvenile Membroid,5.00%,Common (37.94%)
,,
Arcane Precision,Arcane Precision,Arcane Precision
Source,Mod Drop Chance,Chance
Eidolon Gantulyst (Special),100.00%,Rare (5.92%)
Eidolon Gantulyst,100.00%,Rare (7.02%)
,,
Arcane Awakening,Arcane Awakening,Arcane Awakening
Source,Mod Drop Chance,Chance
Eidolon Gantulyst (Special),100.00%,Uncommon (14.63%)
Eidolon Gantulyst,100.00%,Uncommon (18.25%)
,,
Fury,Fury,Fury
Source,Mod Drop Chance,Chance
Vapos Elite Crewman,3.00%,Rare (5.53%)
Vapos Crewman,3.00%,Uncommon (11.06%)
Vapos Oxium Osprey,3.00%,Rare (7.37%)
Taro Elite Crewman,3.00%,Rare (5.53%)
Taro Crewman,3.00%,Uncommon (11.06%)
Orm Elite Crewman,3.00%,Rare (5.53%)
Orm Crewman,3.00%,Uncommon (11.06%)
Taro Secura Osprey,3.00%,Rare (7.37%)
Axio Elite Crewman,3.00%,Rare (5.53%)
Axio Crewman,3.00%,Uncommon (11.06%)
Vorac Elite Crewman,3.00%,Rare (5.53%)
Vorac Crewman,3.00%,Uncommon (11.06%)
Machinist,3.00%,Rare (5.53%)
Corrupted Power Carrier,3.00%,Uncommon (11.06%)
Nightwatch Carrier,3.00%,Uncommon (11.06%)
Juno Oxium Osprey,3.00%,Rare (7.37%)
Eidolon Vomvalyst,5.00%,Uncommon (11.06%)
Attack Drone,3.00%,Rare (7.37%)
Remech Osprey,3.00%,Rare (7.37%)
Mutalist Osprey Carrier,3.00%,Uncommon (11.06%)
Nemes,3.00%,Rare (7.37%)
Corpus Power Carrier,3.00%,Uncommon (11.06%)
Corpus Power Carrier,5.00%,Rare (4.66%)
Elite Crewman,3.00%,Rare (5.53%)
Kuva Hellion Carrier,3.00%,Uncommon (11.06%)
Kuva Power Carrier,3.00%,Uncommon (11.06%)
Carabus,3.00%,Rare (7.37%)
Hellion Power Carrier,3.00%,Uncommon (11.06%)
Hellion Power Carrier,25.00%,Uncommon (11.06%)
Frontier Regulator,3.00%,Rare (7.37%)
Regulator,3.00%,Rare (7.37%)
Grineer Power Carrier,3.00%,Uncommon (11.06%)
Nul Comba,5.00%,Rare (4.42%)
Sap Comba,5.00%,Rare (4.42%)
Slo Comba,5.00%,Rare (4.42%)
Fog Comba,5.00%,Rare (4.42%)
Crewman,3.00%,Uncommon (11.06%)
Sensor Regulator,3.00%,Rare (7.37%)
Oxium Osprey,3.00%,Rare (7.37%)
Rathuum Broadcaster,3.00%,Rare (7.37%)
Deimos Mutalist Osprey Carrier,3.00%,Uncommon (11.06%)
Narmer Observation Drone,3.00%,Rare (7.37%)
Narmer Power Carrier,3.00%,Uncommon (11.06%)
Narmer Oxium Osprey,3.00%,Rare (7.37%)
Narmer Crewman,3.00%,Uncommon (11.06%)
Narmer Elite Crewman,3.00%,Rare (5.53%)
Narmer Machinist,3.00%,Rare (5.53%)
Narmer Regulator,3.00%,Rare (7.37%)
Observation Drone,3.00%,Rare (7.37%)
Terra Detron Crewman,5.00%,Rare (4.42%)
Terra Attack Drone,5.00%,Rare (3.69%)
Terra Attack Drone,20.00%,Rare (3.69%)
Terra Research Crewman,5.00%,Rare (4.42%)
Terra Elite Crewman,5.00%,Rare (4.42%)
Terra Crewman,5.00%,Rare (4.42%)
Terra Crewman,20.00%,Rare (4.42%)
Terra Shield Osprey,5.00%,Rare (3.69%)
Terra Shield Osprey,20.00%,Rare (3.69%)
Terra Plasmor Crewman,5.00%,Rare (4.42%)
Terra Plasmor Crewman,20.00%,Rare (4.42%)
Terra Sniper Crewman,5.00%,Rare (4.42%)
Terra Sniper Crewman,20.00%,Rare (4.42%)
Terra Oxium Osprey,5.00%,Rare (3.69%)
Terra Turret Osprey,3.00%,Rare (7.37%)
Terra Turret Osprey,5.00%,Rare (3.69%)
Primm,5.00%,Rare (3.69%)
Verd-Ie,5.00%,Rare (3.69%)
Orb Vallis - Temple of Profit Enemies,5.00%,Rare (3.69%)
Orb Vallis - Enrichment Labs Enemies,5.00%,Rare (2.75%)
Orb Vallis - Spaceport Enemies,5.00%,Rare (2.81%)
,,
Life Strike,Life Strike,Life Strike
Source,Mod Drop Chance,Chance
Tarask Bursa,3.00%,Rare (2.01%)
Aurax Atloc Raknoid,10.00%,Ultra Rare (1.01%)
Terra Jackal,20.00%,Ultra Rare (1.01%)
Drover Bursa,3.00%,Rare (2.01%)
Jackal,20.00%,Ultra Rare (1.01%)
Narmer Mite,10.00%,Ultra Rare (1.01%)
Narmer Raknoid,10.00%,Ultra Rare (1.01%)
Scyto Raknoid,10.00%,Ultra Rare (1.01%)
Mite Raknoid,10.00%,Ultra Rare (1.01%)
Terra Ambulas,20.00%,Ultra Rare (1.01%)
Terra Raptor Sx,20.00%,Ultra Rare (1.01%)
Terra Elite Raptor Sx,20.00%,Ultra Rare (1.01%)
Terra Embattor Moa,20.00%,Ultra Rare (1.01%)
Terra Elite Embattor Moa,20.00%,Ultra Rare (1.01%)
Terra Moa,10.00%,Ultra Rare (1.01%)
Terra Moa,20.00%,Ultra Rare (1.01%)
Terra Anti Moa,10.00%,Ultra Rare (1.01%)
Terra Anti Moa,20.00%,Ultra Rare (1.01%)
Terra Railgun Moa,10.00%,Ultra Rare (1.01%)
Terra Railgun Moa,20.00%,Ultra Rare (1.01%)
Terra Shockwave Moa,10.00%,Ultra Rare (1.01%)
Terra Shockwave Moa,20.00%,Ultra Rare (1.01%)
Kyta Raknoid,10.00%,Ultra Rare (1.01%)
Narmer Scyto Raknoid,10.00%,Ultra Rare (1.01%)
,,
Predator,Predator,Predator
Source,Mod Drop Chance,Chance
Elite Axio Basilisk,15.00%,Rare (9.24%)
Axio Basilisk,15.00%,Rare (5.53%)
Elite Taro Weaver,15.00%,Rare (9.24%)
Taro Weaver,15.00%,Uncommon (22.92%)
Elite Kosma Flak,15.00%,Rare (9.24%)
Kosma Flak,15.00%,Rare (5.53%)
Elite Kosma Cutter,15.00%,Uncommon (12.32%)
Kosma Cutter,15.00%,Uncommon (22.92%)
,,
Bane Of Grineer,Bane Of Grineer,Bane Of Grineer
Source,Mod Drop Chance,Chance
Demolisher Devourer,15.00%,Uncommon (25.00%)
Demolisher Expired,15.00%,Uncommon (25.00%)
Demolisher Bailiff,15.00%,Uncommon (25.00%)
Demolisher Bailiff,15.00%,Uncommon (25.00%)
Demolisher Heavy Gunner,15.00%,Uncommon (25.00%)
Demolisher Heavy Gunner,15.00%,Uncommon (25.00%)
Demolisher Nox,15.00%,Uncommon (25.00%)
Demolisher Nox,15.00%,Uncommon (25.00%)
Demolisher Kuva Guardian,15.00%,Uncommon (25.00%)
Kuva Scorch,3.00%,Rare (5.64%)
Ghoul Auger,10.00%,Rare (5.53%)
Scorch,3.00%,Rare (5.64%)
Narmer Demolisher Expired,15.00%,Uncommon (25.00%)
Narmer Demolisher Bailiff,15.00%,Uncommon (25.00%)
Narmer Demolisher Gunner,15.00%,Uncommon (25.00%)
Narmer Scorch,3.00%,Rare (5.64%)
,,
Arcane Ultimatum,Arcane Ultimatum,Arcane Ultimatum
Source,Mod Drop Chance,Chance
Eidolon Gantulyst (Special),100.00%,Rare (5.29%)
,,
Arcane Pulse,Arcane Pulse,Arcane Pulse
Source,Mod Drop Chance,Chance
Eidolon Gantulyst (Special),100.00%,Rare (5.29%)
,,
Tether Grenades,Tether Grenades,Tether Grenades
Source,Mod Drop Chance,Chance
Ved Xol,10.00%,Uncommon (12.50%)
Nako Xol,10.00%,Uncommon (12.50%)
Pelna Cade,10.00%,Uncommon (12.50%)
Lockjaw & Sol,10.00%,Uncommon (12.50%)
Jad Teran,10.00%,Uncommon (12.50%)
Azoth,10.00%,Uncommon (12.50%)
Raptor Rx,10.00%,Uncommon (12.50%)
Auditor,10.00%,Uncommon (12.50%)
Jen Dro,10.00%,Uncommon (12.50%)
Derim Zahn,10.00%,Uncommon (12.50%)
M-W.A.M.,10.00%,Uncommon (12.50%)
Tia Mayn,10.00%,Uncommon (12.50%)
Armis Ulta,10.00%,Uncommon (12.50%)
Dru Pesfor,10.00%,Uncommon (12.50%)
Rana Del,10.00%,Uncommon (12.50%)
002-Er,10.00%,Uncommon (12.50%)
,,
Necramech Repair,Necramech Repair,Necramech Repair
Source,Mod Drop Chance,Chance
Deimos Jugulus Rex,100.00%,Rare (4.42%)
,,
Arcane Eruption,Arcane Eruption,Arcane Eruption
Source,Mod Drop Chance,Chance
Eidolon Gantulyst (Special),100.00%,Rare (9.25%)
Eidolon Gantulyst,100.00%,Uncommon (10.20%)
,,
Piercing Hit,Piercing Hit,Piercing Hit
Source,Mod Drop Chance,Chance
Vapos Shockwave Moa,3.00%,Uncommon (25.29%)
Taro Shockwave Moa,3.00%,Uncommon (25.29%)
Orm Shockwave Moa,3.00%,Uncommon (25.29%)
Axio Shockwave Moa,3.00%,Uncommon (25.29%)
Vorac Shockwave Moa,3.00%,Uncommon (25.29%)
Test Moa,3.00%,Uncommon (25.29%)
Shockwave Moa,3.00%,Uncommon (25.29%)
Narmer Shockwave Moa,3.00%,Uncommon (25.29%)
Breacher Moa,3.00%,Uncommon (25.29%)
,,
Shocking Touch,Shocking Touch,Shocking Touch
Source,Mod Drop Chance,Chance
The Sergeant,100.00%,Rare (7.52%)
Aurax Atloc Raknoid,10.00%,Rare (3.69%)
Tusk Eviscerator,3.00%,Uncommon (11.06%)
Tusk Trooper,3.00%,Uncommon (11.06%)
Terra Jackal,20.00%,Rare (3.69%)
Zealoid Prelate,100.00%,Uncommon (18.33%)
Wolf Of Saturn Six,100.00%,Uncommon (18.33%)
Wolf Of Saturn Six,100.00%,Uncommon (18.33%)
Eviscerator,3.00%,Uncommon (11.06%)
Kuva Eviscerator,3.00%,Uncommon (11.06%)
Kuva Trooper,3.00%,Uncommon (11.06%)
Arid Eviscerator,3.00%,Uncommon (11.06%)
Frontier Eviscerator,3.00%,Uncommon (11.06%)
Trooper,3.00%,Uncommon (11.06%)
Arid Trooper,3.00%,Uncommon (11.06%)
Frontier Trooper,3.00%,Uncommon (11.06%)
Denial Bursa,3.00%,Uncommon (11.06%)
Jackal,20.00%,Rare (3.69%)
Drekar Eviscerator,3.00%,Uncommon (11.06%)
Drekar Trooper,3.00%,Uncommon (11.06%)
Tyl Regor,100.00%,Rare (7.52%)
Tyl Regor,100.00%,Rare (7.52%)
Trooper Survivor,3.00%,Uncommon (11.06%)
Narmer Mite,10.00%,Rare (3.69%)
Narmer Trooper,3.00%,Uncommon (11.06%)
Narmer Raknoid,10.00%,Rare (3.69%)
Coolant Raknoid,30.00%,Rare (3.22%)
Scyto Raknoid,10.00%,Rare (3.69%)
Mite Raknoid,10.00%,Rare (3.69%)
Terra Ambulas,20.00%,Rare (3.69%)
Terra Raptor Sx,20.00%,Rare (3.69%)
Terra Elite Raptor Sx,20.00%,Rare (3.69%)
Terra Embattor Moa,20.00%,Rare (3.69%)
Terra Elite Embattor Moa,20.00%,Rare (3.69%)
Terra Moa,10.00%,Rare (3.69%)
Terra Moa,20.00%,Rare (3.69%)
Terra Anti Moa,10.00%,Rare (3.69%)
Terra Anti Moa,20.00%,Rare (3.69%)
Terra Railgun Moa,10.00%,Rare (3.69%)
Terra Railgun Moa,20.00%,Rare (3.69%)
Terra Shockwave Moa,10.00%,Rare (3.69%)
Terra Shockwave Moa,20.00%,Rare (3.69%)
Kyta Raknoid,10.00%,Rare (3.69%)
Narmer Scyto Raknoid,10.00%,Rare (3.69%)
Profit-Taker,100.00%,Uncommon (10.26%)
,,
Diamond Skin,Diamond Skin,Diamond Skin
Source,Mod Drop Chance,Chance
Vapos Sapping Osprey,3.00%,Uncommon (11.06%)
Tusk Hellion,3.00%,Uncommon (11.06%)
Tusk Hellion,3.00%,Uncommon (11.06%)
Tusk Lancer,3.00%,Uncommon (11.06%)
Nightwatch Reaver,3.00%,Uncommon (11.06%)
Sapping Osprey,3.00%,Uncommon (11.06%)
Kuva Hellion,3.00%,Uncommon (11.06%)
Kuva Lancer,3.00%,Uncommon (11.06%)
Arid Hellion,3.00%,Uncommon (11.06%)
Frontier Hellion,3.00%,Uncommon (11.06%)
Hellion,3.00%,Uncommon (11.06%)
Lancer,3.00%,Uncommon (11.06%)
Arid Lancer,3.00%,Uncommon (11.06%)
Frontier Lancer,3.00%,Uncommon (11.06%)
Leech Osprey,3.00%,Uncommon (11.06%)
Drekar Elite Lancer,3.00%,Rare (7.37%)
Drekar Scorpion,3.00%,Uncommon (11.06%)
Drekar Lancer,3.00%,Rare (7.37%)
Lancer Survivor,3.00%,Uncommon (11.06%)
Narmer Commander,3.00%,Uncommon (11.06%)
Narmer Leech Osprey,3.00%,Uncommon (11.06%)
Narmer Mine Osprey,3.00%,Uncommon (11.06%)
Narmer Sapping Osprey,3.00%,Uncommon (11.06%)
Narmer Hellion,3.00%,Uncommon (11.06%)
Narmer Lancer,3.00%,Uncommon (11.06%)
Narmer Coildrive,3.00%,Uncommon (11.06%)
Kuva Lich Agor Rok (Level 0 - 69),3.00%,Rare (7.37%)
Special Duty Coildrive,3.00%,Uncommon (11.06%)
Coildrive,3.00%,Uncommon (11.06%)
Rogg-417,3.00%,Uncommon (11.06%)
,,
Streamline,Streamline,Streamline
Source,Mod Drop Chance,Chance
Tusk Reaver,3.00%,Legendary (0.50%)
Tusk Hellion,3.00%,Legendary (0.50%)
Tusk Hellion,3.00%,Legendary (0.50%)
Tusk Lancer,3.00%,Legendary (0.50%)
Nightwatch Reaver,3.00%,Legendary (0.50%)
Juno Disc Moa,3.00%,Ultra Rare (1.01%)
Kuva Hellion,3.00%,Legendary (0.50%)
